id,userName,score,content,reviewDate,thumbsUpCount,sentiment
265,Nathan Lubinda,5,Awesome,2025-06-13 15:15:35,0,Positive
266,Emmanuel Gladness,5,I love the way the updates keeps getting interesting,2025-06-13 15:14:25,0,Positive
267,Md Jewel,5,wow,2025-06-13 15:14:17,0,Neutral
268,Sanjay Gupta,5,fantastic app,2025-06-13 15:13:45,0,Positive
269,Aliza Moyna,1,you are not backup my chat and video,2025-06-13 15:13:32,0,Neutral
270,Ganbo Ismaila,5,Ina bukatar a yi hakuri abouda,2025-06-13 15:12:58,0,Neutral
271,Olivertwist Okon,5,excellent,2025-06-13 15:12:52,0,Positive
272,Sohan,5,😁,2025-06-13 15:12:09,0,Neutral
273,Kudroh Bolatito,5,I'm enjoying Whatsapp to the core,2025-06-13 15:12:08,0,Positive
274,Oluwaseun Michael,4,Perfect,2025-06-13 15:11:24,0,Positive
275,sudhir gupta,1,WhatsApp nhi chal raha kya kare,2025-06-13 15:10:51,0,Neutral
276,Sam Asgari,5,nice,2025-06-13 15:10:40,0,Positive
277,Andrew James,5,excellent,2025-06-13 15:10:00,0,Positive
278,Chiranjit Kar,5,ossum,2025-06-13 15:09:44,0,Neutral
279,shiv enterprize,5,good,2025-06-13 15:08:33,0,Positive
280,Oke David,5,good,2025-06-13 15:08:29,0,Positive
281,Brajesh Kumar,5,verry nice,2025-06-13 15:07:47,0,Positive
282,GRACE IWUANYANWU,5,"it is very simple, reliable and private for usuage",2025-06-13 15:06:58,0,Neutral
283,Hafiz javed,5,super excited about this app,2025-06-13 15:06:13,0,Positive
284,Faiyaz Sazid,5,good,2025-06-13 15:05:56,0,Positive
285,Sanket Arya,5,👍,2025-06-13 15:05:50,0,Neutral
286,drivinglicence hira,5,Awesome Service,2025-06-13 15:04:56,0,Positive
287,Gift Ali,5,It is very important,2025-06-13 15:04:35,0,Positive
288,Zulaihat Aliyu,5,I want to update my whatsapp,2025-06-13 15:04:06,0,Neutral
289,Rahul Yadav,5,😘😘😘,2025-06-13 15:02:51,0,Neutral
290,Md Jakir,1,account open prop,2025-06-13 15:02:39,1,Neutral
291,Nitish Kumar,5,Mera number ko ban kar diya gaya hai kripiya theek kar do please,2025-06-13 15:02:31,0,Neutral
292,Agugua Gloria,1,"this app disappeared from my phone. I've reinstalled it but still, I cannot find it or have access to it. what can I do to have it back ?",2025-06-13 15:02:11,0,Neutral
293,Ekechukwu Emeka,5,"Excellent, fast",2025-06-13 15:02:06,0,Positive
294,Arachana Kumari,4,ok. very good,2025-06-13 15:01:57,0,Positive
295,Samet Gedny,5,"l experience, What's App because it helps me share voice message, images and communicate with all around the world.",2025-06-13 14:59:53,0,Neutral
