userName,content,score,at,thumbsUpCount
Muvva Mahesh,ok,5,2025-06-19 19:15:41,0
Abhay Patel,overcharge for local bus operator just go from ixigo way better for long trips,1,2025-06-19 19:06:26,1
Jay Sharma,best,5,2025-06-19 19:00:34,0
Nitin K,best,5,2025-06-19 19:00:02,0
MD Amir Hussain,Excellent,5,2025-06-19 18:56:57,0
Mahesh Zute,Nice service,5,2025-06-19 18:51:16,0
Selvakumar vellore,Bus around 9am would be nice,5,2025-06-19 18:49:11,0
Gayatri Singh,superb platform and user friendly. Thank you redbus,5,2025-06-19 18:43:41,0
jagdish shrirao,safe travels,5,2025-06-19 18:41:29,0
Rohit Pandey,good sarvice,5,2025-06-19 18:36:43,0
Ujjwal Kumar,good,5,2025-06-19 18:20:27,0
rajesh kumar,very bad,1,2025-06-19 18:17:05,1
Sanjay Mane,nice,5,2025-06-19 18:05:44,0
श्रीराम साह (Ram),good 👍,5,2025-06-19 18:00:52,0
mrinmoyKumarghosh toton,excellent,5,2025-06-19 17:59:48,0
Chandru,good,5,2025-06-19 17:59:40,0
Sudarsan Nahak,good app,5,2025-06-19 17:54:08,0
kethavath shivaji,Red bus best travel app this app nice feedback,5,2025-06-19 17:50:18,0
Gayash Arman,achcha Laga,4,2025-06-19 17:47:15,0
shamim Shiddique,good,5,2025-06-19 17:37:32,0
Gopal Singh,Prajapat bus,5,2025-06-19 17:28:33,0
Nisha Verma,good environment.. hygienic.. good experience.. staff also very good... overall everything is good...my first time experience 😊😊😊😊😊,5,2025-06-19 17:27:42,0
Sangeeta Thakur,bahut achcha app hai,5,2025-06-19 17:27:37,0
Nehal Paunikar,"Shared wrong information about bus, wrong bus number",3,2025-06-19 17:25:25,0
kada durgaprasad,good,5,2025-06-19 17:11:45,0
Tamil Jesus Power Full Ministry,very very useful.. help ful captain and new journey experience.. thank you intercity bus service...,5,2025-06-19 17:07:12,0
Ranu Ranu,nice,5,2025-06-19 16:52:14,0
Vineet Sharma,👌 nice,5,2025-06-19 16:48:29,0
Kiran Buddy,Good very nice and comfortable journey,5,2025-06-19 16:42:30,0
Aashish Chandra,Good working and smoothly,5,2025-06-19 16:34:38,0
Atul Wadhe,supar,5,2025-06-19 16:20:46,0
MAUSAM KUMAR YADAV,it's good but the price should more be little less .,4,2025-06-19 16:20:11,0
sidesh khandare,nice,5,2025-06-19 16:04:57,0
Abhishek Bhardwaj,Yesterday night I have booked bus from your app for flix and the driver and conductor beat me and misbehave me and I have no help and they also send me out of the bus in the midnight,1,2025-06-19 15:57:47,1
Shivarchan Singh,nice rider,5,2025-06-19 15:56:53,0
hidayah amram,"apa function kasi duit dalam wallet sampai 20 pastu boleh guna namposen je ? dahla bagi seminggu je, bagi time orang nak final, canne nak balik nyaaa. eee orang dahla stress final dengan ko sekali aku nak stress. kalau taknak kasi guna, tayah bagi. one more, tayah bagi promocode yang invalid boleh? redbus kuat bagi fake hope",1,2025-06-19 15:42:28,1
Boram Singh,radbus super 👌 fast 🏃‍♀️,5,2025-06-19 15:41:26,0
Abhina Vijayan,it was good travel experience,5,2025-06-19 15:30:09,0
Rajesh bara Rajesh bara,best app,5,2025-06-19 15:19:38,0
dhaval kateliya,good,4,2025-06-19 15:18:47,0
Sunny Madhira,Very Happy Journey 😊,5,2025-06-19 15:12:51,0
Wijoyo Ferdi,Easily and Convenient,5,2025-06-19 15:10:18,0
Arjun Wadikar,good,5,2025-06-19 15:00:22,0
Dipak Rathod,before booking ticket please contact me first I have to evidences of redBus black work redBus make fraud with customer how to eat cucumber money I have bus operators call recording photo screenshot and redBus customer call recording all evidences are available after seeing this then after book tickets Thank you so much sir But Now Not need your help I have already raised complaint in cyber and Consumer Court They will help me properly because all evidences has given them thanks for your fraud,1,2025-06-19 14:53:46,1
NAGESWARRAO MALOTH,nice response,5,2025-06-19 14:47:43,0
Rock YouTube,nice,4,2025-06-19 14:41:50,0
Premsai Rapuri,good,5,2025-06-19 14:34:36,0
Zeba Rizvi,worst app,1,2025-06-19 14:32:30,1
Thanga Pandi,good,4,2025-06-19 14:31:22,0
pravi kumar,worst experience ever already created a grivience.😡,1,2025-06-19 14:29:06,1
DrSSN AIML,good,5,2025-06-19 14:21:34,0
Mangesh Kamale,good,5,2025-06-19 14:21:29,0
Prakash Ghewande,Best,5,2025-06-19 14:18:03,0
Dinesh Maurya,good,4,2025-06-19 14:17:11,0
Naga Santhosh,nice facilities,5,2025-06-19 14:08:42,0
Shahbaz Khan,good,5,2025-06-19 14:03:41,0
Raj pal,good,5,2025-06-19 13:55:59,0
Tulsiram Yadav,ok,5,2025-06-19 13:50:04,0
dhiraj powar,Good 👍,5,2025-06-19 13:47:23,0
Deepu Shah,thik you,5,2025-06-19 13:38:40,0
Devendra Singh,top class,5,2025-06-19 13:34:09,0
Rohit ras 143,nice experience with Red bus,5,2025-06-19 13:16:15,0
Raja R,👍😊 GooD,5,2025-06-19 13:11:10,0
Joshi Deep,Amazing App,5,2025-06-19 13:03:56,0
daksh sharma,All is very Good 👍👍,5,2025-06-19 13:03:32,0
satyawan Dhawade,"Worst customer support. I wrongly booked the ticket for today's date, and now they are neither letting me change the date nor refunding the money. Not a single person is available on call to talk to. If someone made a mistake, there should be a solution to either change the booking or get a refund.",1,2025-06-19 12:49:33,1
Sameer Vanjare,Good service,5,2025-06-19 12:47:47,0
Pradeep Bharne,excellent,5,2025-06-19 12:41:31,0
